interest,canonical,topic
architecture,Computer Architecture,Architecture
database theory,,DB
real-time systems,,OS
performance engineering,,Benchmark
parallelism,,Concurrency
data centers,,Cloud
resilience,,Security
logic in computer science,,
system software,,OS
theory,,
computational science,,HPC
provenance,,DB
automata theory,,
randomized algorithms,,
power management,,Energy
wireless networking,,Network
program synthesis,,
software verification,,
semantic web,,Data
simulation,,Benchmark
resource management,,OS
numerical linear algebra,,HPC
program verification,,
microarchitecture,,Architecture
parallel programming models,,Concurrency
operations research,,
query optimization,,
security and privacy,,Security
computational geometry,,HPC
parallel systems,,Concurrency
cybersecurity,,Security
concurrent programming,,Concurrency
gpus,GPGPU,GPGPU
network measurement,,Network
visualization,,
analytics,,Data
transactional memory,,Concurrency
data-intensive computing,,Data
knowledge representation,,Data
combinatorial optimization,,HPC
combinatorial scientific computing,,HPC
scientific workflows,,HPC
model checking,,
software reliability,,Security
pervasive computing,,
communications,,Network
information theory,,Network
algorithms and data structures,,
information systems,,
sensor networks,,Network
natural language processing,,Data
mobile security,,Security
graph processing,,HPC
signal processing,,
workload characterization,,Benchmark
software-defined networking,,Network
functional programming,,Compilers
software architecture,,
communication networks,,Network
robotics,,
communication,,Network
data quality,,
query processing,,
network-on-chip,,Architecture
green computing,,Energy
cloud storage,,Cloud
hardware security,,Security
compiler optimization,,Compilers
cyber security,,Security
embedded system,,
mobile systems,,
complex networks,,Network
electronic design automation,,
graph theory,,
database management systems,,DB
web data management,,Data
networking systems,,Network
semantics,,
fpgas,,GPGPU
dependable systems,,Security
neuromorphic computing,,
exascale,Exascale Computing,HPC
theory of computation,,
online social networks,,
spatial databases,,DB
heterogeneous architectures,,GPGPU
network science,,Network
debugging,,Compilers
storage system,,Storage
fpga,,GPGPU
distributed data management,,Concurrency
graph analytics,,Data
network coding,,Network
benchmarking,,Benchmark
statistics,,
low power,,Energy
system,Systems,
data compression,,Network
data provenance,,DB
tools,,Compilers
hci,,
memory management,,OS
information extraction,,
network management,,Network
data intensive computing,,Data
computer engineering,,Architecture
software testing,,
mobility,,
probability,,
formal verification,,
domain specific languages,,Compilers
software systems,,
computer graphics,,
openmp,,Concurrency
business intelligence,,
software defined networking,Software-Defined Networking,Network
computer network,,Network
data analysis,,Data
web,,
hadoop,,Data
file system,File Systems,Storage
data management systems,,DB
hardware,,Architecture
deduplication,,
big data processing,Big Data,Data
i/o,,Storage
stream processing,,
software performance engineering,,
sdn,Software-Defined Networking,Network
hardware accelerators,,GPGPU
web security,,Security
complexity theory,,
virtual machines,,VM
transaction processing,,DB
peer-to-peer,,Network
wireless sensor networks,,Network
self-stabilization,,
systems biology,,
non-volatile memory,,Storage
cloud security,,Security
software security,,Security
parallel and distributed processing,Parallel and Distributed Computing,Concurrency
web mining,,
persistent memory,,Storage
workflows,,
knowledge representation and reasoning,,Data
image processing,,
computer system,Computer Systems,
mobile,,
service computing,,
clouds,Cloud Computing,Cloud
dependable computing,,
run-time systems,,OS
data cleaning,,Data
discrete mathematics,,
optimizing compilers,,Compilers
anonymity,,Security
distributed and parallel computing,Parallel and Distributed Computing,Concurrency
database management,,DB
linear algebra,,
scientific visualization,,HPC
services computing,,
numerical analysis,,HPC
scheduling algorithms,,OS
peer-to-peer networks,,Network
graphs,,
programming language,Programming Languages,Compilers
dark silicon,,
modeling,,
trusted computing,,Security
computer and network security,,Security
urban computing,,
vlsi design,,Architecture
distributed file systems,,Storage
soc,,Architecture
systems software,,
edge computing,,
wireless communications,,Network
accelerators,,GPGPU
business process management,,
energy efficient computing,,Energy
mathematics,,
petri nets,,
computational fluid dynamics,,HPC
malware,,Security
storage and file systems,,Storage
recommender systems,,Data
sparse matrix computations,,HPC
type theory,,
concurrency theory,,Concurrency
network,Networking,Network
networked systems,,Network
web services,,
computer-aided design,,
multimedia,,
empirical software engineering,,
internet technologies,,
compilation,,Compilers
low power design,,Energy
datacenters,,Cloud
parallel file systems,,Storage
human-computer interaction,,
opencl,,GPGPU
text mining,,Data
biomedical engineering,,
computer architectures,Computer Architecture,Architecture
social media,,
dsp,,
physics,,
fluid mechanics,,HPC
stochastic processes,,
binary analysis,,
distributed storage systems,,Storage
data center networks,,Network
computational physics,,HPC
noc,Network-on-Chip,Architecture
multicore,,Concurrency
computational chemistry,,HPC
self-adaptive systems,,
multiagent systems,,
thermal management,,Energy
measurement,,Benchmark
exascale computing,,HPC
reinforcement learning,,Data
data privacy,,Security
eda,,Data
coding theory,,
code generation,,Compilers
applied machine learning,,Data
resource allocation,,OS
grid and cloud computing,,Cloud
neural networks,,Data
large-scale data analysis,,Data
computer arithmetic,,Architecture
testing,,
type systems,,
stochastic models,,
bitcoin,,
memory architecture,,Architecture
file and storage systems,,Storage
programming systems,,Compilers
systems and networking,,Network
molecular dynamics,,HPC
information management,,
social computing,,
ubiquitous computing,,
high performance networks,High-Performance Networks,Network
flash memory,,Storage
cyberinfrastructure,,
distributed storage,Distributed Storage Systems,Storage
software product lines,,
mobile networks,,Network
graph data management,,Data
interconnection network,,Network
queuing theory,,Network
multimedia security,,
transaction management,,
side-channel attacks,,
concurrent systems,,Concurrency
energy,,Energy
cybercrime,,Security
random graphs,,
algorithm,,
labor economics,,
fault injection,,
economics,,
energy-efficient computing,,Energy
combinatorics,,
algorithm design,,
power-aware computing,,Energy
computational complexity,,
load balancing,,OS
io,I/O,Storage
automatic parallelization,,Concurrency
process mining,,
scientific data management,,Data
big data management,,Data
medical imaging,,
health informatics,,Data
network function virtualization,,Network
mpi,Message-Passing Interface,Network
static analysis,,Compilers
description logics,,
evolutionary algorithms,,
synchronization,,Concurrency
computational complexity theory,,
neuroscience,,
network design,,Network
information visualization,,
data streams,,
network economics,,Network
energy harvesting,,Energy
dynamic binary translation,,
gpu architecture,,GPGPU
database system,,DB
cad,,
binary translation,,
mobile sensing,,
design and analysis of algorithms,,
queueing theory,,Network
distributed database systems,,DB
data center networking,,Network
self management,,
hpc system software,,HPC
genomics,,
econometrics,,
parallel computation,,Concurrency
peer to peer systems,,Network
knowledge engineering,,
learning theory,,
autotuning,,
prefetching,,Architecture
integrated circuit design,,Architecture
healthcare informatics,,
hpc runtime systems,,HPC
learning,,
network systems,,Network
parallel applications,,Concurrency
memory system,,Architecture
redes de interconexión,Networks,Network
massively parallel processing,,Concurrency
computational systems biology,,HPC
reproducibility,,
hpc networks,,Network
service oriented computing,,
solid state disks,,Storage
approximate query processing,,
hw/sw co-design,HW/SW Codesign,Architecture
memory hierarchy,,Architecture
message passing libraries,,Network
parallel & distributed computing,Parallel and Distributed Computing,Concurrency
probabilistic databases,,
wireless systems,,
algorithms for large data,,
solid-state drives,,
real-time embedded systems,,
web search,,
big data profiling,,
security.,,
memory hierarchies,,
message passing interface,,Network
cross-platform data management,,
content distribution,,
p2p systems,Peer-to-Peer Systems,Network
information assurance,,
power analysis,,Energy
system reliability,,
evolutionary computation,,
fault-tolerant computing,,
biometrics,,Security
computer security and privacy,,Security
quality of service,,
p2p,Peer-to-Peer Systems,Network
uncertain data,,
financial econometrics,,
markov chains,,
nocs,Network-on-Chip,Architecture
streaming,,
adaptive systems,,
information technology policy,,
p2p computing,Peer-to-Peer Systems,Network
model-driven engineering,,
network stacks,,Network
computer system security,,Security
high performance scientific computing,,HPC
stochastic computing,,
big data science,,Data
streams,,
parallelization,,Concurrency
language-based security,,Security
cluster computing,,Concurrency
graph,,
instruction set simulation,,Benchmark
p2p networks,Peer-to-Peer Networks,Network
grids,,
logic programming,,
scalable systems,,
traffic analysis,,
information integration,,
uncertainty management,,
graph mining,,
brain-inspired computing,,
social network,,
smartphones,,
transactions,,
high-level synthesis,,
network on chip,Network-on-Chip,Architecture
stream computing,,
digital design,,
large-scale graph processing,,Data
virtualisation technologies,,VM
dynamic analysis,,
performance tuning,,
wireless communication,,Network
cuda,,GPGPU
applied mathematics,,
indexing,,
parallelizing compilers,,Compilers
auto-tuning,,
xml,,
devops,,
nvram,,Storage
theory of distributed systems,,Concurrency
file and storage system,,Storage
data storage,,Storage
escience,,
nonlinear control,,
fault tolerant computing,,
time series,,
compiler design,,Compilers
innovation,,
nonlinear optimization,,
computational social science,,
spatial database,,DB
heterogeneous systems,,GPGPU
distributed systems.,,Concurrency
rfid,,
data replication,,
discrete math,,
distributed and parallel systems,,Concurrency
reverse engineering,,
complexity,,
online algorithms,,
data warehousing,,
higher education,,
utility computing,,
automated reasoning,,
non-volatile memories,,Storage
software defined network,Software-Defined Networks,Network
network architectures,,Network
graph computing,,
sbse,,
performance testing,,Benchmark
compression,,
hardware/software co-design,HW/SW Codesign,Architecture
programming languages and systems,,Compilers
online privacy,,Security
hidden web,,
computational science and engineering,,HPC
query processing and optimization,,
heterogeneous memory systems,,Architecture
web development,,
scientific databases,,DB
routing,,Network
power systems,,Energy
large-scale data management,,DB
graph drawing,,
datacenter networking,,Network
high precision arithmetic,,HPC
compiler technology,,Compilers
smart grid,,
spectral graph theory,,
congestion control,,Network
machine learning systems,,Data
processor design,,Architecture
performance optimizations,,
phylogenetics,,
biomedical informatics,,
microkernels,,
big network data,,
social network analysis,,
stochastic optimization,,
variability,,
optimisation,,
satisfiability,,
cyber physical systems,,
nfv,,
community detection,,
software defined networks,Software-Defined Networks,Network
fast multipole methods,,
modeling and simulation,,Benchmark
performance tools,,Benchmark
internet measurement,,Benchmark
programming model,,
database design,,DB
anomaly detection,,
access control,,
ssd,,Storage
arquitectura de computadores,Computer Architecture,Architecture
data processing,,
authentication,,
distributed computing systems,Distributed Systems,Concurrency
multi-core processors,,Architecture
wireless security,,Security
optical networks,,Network
qos,,
applied probability,,
ranking,,
big data & cloud computing,,Data
automated verification,,
networks on chip,Network-on-Chip,Architecture
database usability,,DB
internet measurements,,Benchmark
computational statistics,,
green energy,,Energy
mapreduce,,Data
nosql,,DB
energy-aware computing,,Energy
peer-to-peer systems,,Network
knowledge bases,,
concurrent algorithms,,Concurrency
multithreading,,Concurrency
distributed systems and networking,,Concurrency
finite element methods,,HPC
multi-objective optimization,,
digital forensics,,
system performance,,
silicon photonics,,
software architectures,,
parallel discrete-event simulation,,HPC
programming language implementation,,Compilers
human computer interaction,,
garbage collection,,Compilers
computing,,
ubicomp,,
statistical machine learning,,Data
hardware acceleration,,GPGPU
control theory,,
anonymous communication,,Security
internet,,
parallel computer architecture,,Architecture
databases and distributed systems group,,
reliable systems,,
smart cities,,
multimedia retrieval,,
gpgpus,GPGPU,GPGPU
architectures,,Architecture
energy management,,Energy
probabilistic programming,,
usable security,,Security
sustainability,,Energy
quantum chemistry,,
disaster recovery,,
hpc systems,,HPC
irregular applications,,
large scale data management,,Data
big data infrastructures,,Data
failure diagnosis,,
datacenter systems,,Cloud
cache,,Architecture
jit,,Compilers
optimization algorithms,,
synchronous languages,,Compilers
secure computation,,Security
network analysis,,Network
online services,,
cloud computing and economics,,Cloud
testbeds,,
diag,,
network monitoring,,Network
high perfromance computing,High-Performance Computing,HPC
video coding,,
computer algebra,,
technology policy,,
asynchronous circuits,,Architecture
medical image processing,,
algorithmen,,
mikroelektronik,,
event processing,,
mpi-io,,Network
energy harvesting and storage systems,,Energy
infinite state systems,,
green communication,,Energy
weak & optimistic consistency,,DB
fluid dynamics,,
cloud/grid computing,,Cloud
data-centric bussiness processes,,
nlp,,
distributed processing,,Concurrency
programing systems,,Compilers
data-centric software eco-systems,,
power-efficient algorithms,,Energy
solid state drive,,Storage
measurements,,Benchmark
parallel compilers,,Compilers
database appliance,,DB
security and trust,,Security
system benchmarking,,Benchmark
design and test methods for digital ics,,
storage qos,,
on-chip regulator,,Architecture
submodularity,,
distributed data management systems,,DB
electronic business,,
3d integration,,
memristor,,Architecture
mathematical logic,,
dynamic software updating,,
software,,
spatio-temporal data analytics,,
social media analysis,,
abstract interpretation,,
performance optimisation,,
programmable routers,,Network
soc architecture,,Architecture
advanced computer architectures,,Architecture
metaheuristics,,
multicore algorithms,,Concurrency
parallel algorithm design and analysis,,Concurrency
multi-version execution,,
vm migration,,VM
dissect-cf,,
massively parallel algorithms,,Concurrency
energy-efficient hardware design,,Architecture
troubleshooting,,
scalable storage,,Storage
model reduction,,
elasticity,,
distributed/sensor systems,,
parallelized debugging,,Concurrency
infosec,,Security
additive manufacturing,,
erasure-coded storage,,Storage
performance and reliability of concurrent systems,,Concurrency
high performance systems simulation and modeling,,Benchmark
emerging non-volatile memories,,Architecture
analog circuit design,,Architecture
data networking,,Network
live analytics,,
streaming time series,,Data
kernel tracing,,
automated proof,,
data and location privacy,,Security
social content mining,,
clustering technologies,,Cloud
mathematical software,,
artificial intelligence and decision support,,
cloud native,,Cloud
computer networks - systems,,Network
internet systems services and applications,,
developing and using abstract models for trustworthy computing,,Security
bio-robotics.,,
decentralized systems,,Concurrency
combinatorial pattern matching,,
high-performance and distributed computing,,HPC
computer simulations,,
optimizations,,
mobile forensics,,
intermittent computing,,
computer science and engineering,,
embedded devices,,
smart wearables,,
quantum information,,
storage simulation,,Benchmark
network security and privacy,,Security
parallel discrete event simulation,,Benchmark
computational soundness,,
e-services,,
automata,,
network and computer security,,Security
system modelling,,
non-blocking data structures,,Concurrency
complex adaptive systems,,
virtual appliances,,VM
3d-stacked memory,,
cloud & data analytics,,Cloud
virtual memory,,OS
scalar operand networks,,Network
quantitative psychology,,
urban networks,,Network
cloud computing security,,Security
in-database machine learning,,Data
cache hierarchies,,Architecture
asic clouds,,Architecture
computational grids,,Cloud
streaming media distribution,,
distributed/parallel computing,Distributed and Paralleld Computing,Concurrency
distributed databases,,DB
shared memory algorithms,,Concurrency
medical image analysis,,
rpki,,
device fingerprinting,,
web crawling,,
cscw,,
simulation à événements discrets,,
docker,,VM
bio medical imaging,,
openstack,,
adaptive energy efficient systems,,Energy
main memory database management systems,,DB
heterogeneous memory,,Architecture
big data benchmark,,Benchmark
recommender systems...,,Data
sensing,,
dbs and information systems,,DB
software-hardware systems,,
spatio temporal databases,,DB
cs education,,
data extraction,,
social nw,,
gpu programming,,GPGPU
energy analysis,,Energy
in-memory column-store database systems,,DB
media compression,,
language runtimes,,Compilers
hpc tools,,HPC
task mapping,,OS
cache coherence protocols,,Architecture
multi-/many-cores,,Concurrency
green ict,,Energy
data stream processing,,
microgrids,,
data analytics and visualization,,Data
recommender system,,Data
profile analysis,,Benchmark
canada,,
product-forms,,
energy-aware software,,Energy
software automatic tuning,,
os,,OS
distributed cognition,,
enterprise applications,,
spatial data,,
large-scale distributed systems,,Concurrency
computational topology,,HPC
it-security,,
mobile applications,,
file & storage systems,,Storage
internet economics,,
cryptocurrency,,Security
stochastic control,,
multidimensional similarity search,,
software fault tolerance,,
usable security and privacy,,Security
enterprise,,
connected vehicles,,
supercomputers,,HPC
massively parallel architectures,,Architecture
incentives,,
adaptive software systems,,
numerical simulation,,
social data,,
data corruption,,
privacy and security,,Security
modern hardware,,Architecture
meta-heuristics,,
linked data,,
energy efficient cache memories,,Architecture
intellectual property,,Security
performance and reliability evaluation,,
hybrid cloud,,Cloud
biomedical image analyis,,
reliability engineering,,
lower bounds,,
efficacité énergétique des processeurs multi-coeurs,,
database theroy,,DB
e-assessment,,
parallel i/o and file systems,,Storage
systems of all sorts,Systems,
computational photography,,
modeling and verification,,
network protocols,,Network
everything,,
probabilistic logic,,
power-aware supercomputing,,Energy
industrial control systems,,
computer science logic,,
optimization techniques for high performance computing,,HPC
bi-objective optimization,,
massive data sets,,Data
statistical inference,,Data
stream and event processing,,
service-oriented computing,,
parallel computational model,,HPC
probabilistic database systems,,DB
performance modeling and prediction,,Benchmark
spintronic memory architectures,,Architecture
reputation,,
códigos,,
flash devices,,Storage
entity resolution,,
web of things,,
distributed systems and networks,,Concurrency
power aware design,,Energy
gene classification and analysis,,
particle swarm optimization,,
social network analytics,,
security and data provenance,,Security
internet algorithms,,
mobile cloud,,Cloud
chip and pin,,
cyber-physical security,,Security
3d shape retrieval,,
fault detection,,
wave propagation,,HPC
trusted execution,,Security
stochastic network calculus,,
data science for social good,,Data
many-core architecture,,Architecture
foundations of cryptography,,Security
cache design,,Architecture
assignment,,
hpc workload management,,OS
data storage and management,,DB
gis,,
reconfigurable system,,
database optimization,,DB
autonomic computing in virtualized environment,,VM
batch analytics,,Data
datamining,,Data
key-value stores/caches,,Storage
superconductivity,,
neurocomputing,,
multicore computing,,Concurrency
transport protocols,,
mobile communication,,
intrusion tolerance,,
flash-based storage,,Storage
self-aware computing,,
programming models for high performance computing,,HPC
runtime verification,,
locks,,Concurrency
runtime and compiler,,Compilers
economics-driven software engineering,,
vliw,,Architecture
real-time and general-purpose operating systems,,OS
hierarchical low-rank approximation,,
censorship-resistant communication,,Security
link prediction,,Network
networked applications,,Network
low-power research,,Energy
embedded systems and high performance computing,,HPC
probabilistic knowledge bases,,DB
rowhammer,,
hybrid architectures,,Architecture
markov chain monte carlo,,
types,,Compilers
spectral clustering,,
icg fluorescence,,
cardinality estimation,,
distributed data usage control,,
concurrent systems with non-deterministic and stochastic parameters,,Concurrency
applied security,,Security
anticensorship,,Security
feedback computing,,
program repair,,
power & thermal management,,Energy
knowledge discovery,,
adaptive computing,,
encryption,,Security
information-flow security,,Security
low-power & energy-efficient computing,,Energy
mems/nems,,Architecture
information flow control,,
rdf query optimization,,DB
switch scheduling,,Network
parallel language,,Compilers
3d display,,
community networks,,
multi-processor systems,,Concurrency
new architectures for data management,,Architecture
cdn,,Network
system and software security,,Security
mémoires flash,,Storage
graph algorithm,,
transport layer design,,
modelling and simulation,,Benchmark
#xml,,
hybrid computing,,
mesh generation,,
logic synthesis,,
computer architecture 3d memory,,Architecture
task-based programming model,,Concurrency
voting,,
cee,,
planar graph algorithms,,
gpu virtualization,,VM
service oriented architectures,,Architecture
high-performance computers,,HPC
profiling,,
emerging technologies,,
data processing on reconfigurable hardware,,Architecture
qos guarantees,,
wireless power transfer,,Energy
task-based programming models,,Concurrency
heterogenuous computing,,GPGPU
ranking/recommendation,,Data
stochastic networks,,
workload modeling,,Benchmark
computer systems and networks,,Network
electrical engineering,,
cryptocurrencies,,Security
distributed agent systems,,Concurrency
medical devices,,
anti-censorship,,Security
high speed interfaces,,Network
spatio-temporal data,,
operations management,,
multicasting,,Network
cluster resource management,,OS
3d printers,,
cyber security and cyber forensics,,Security
model-based software implementation,,
preconditioners,,
cloud resource management,,OS
fractal geometry,,
text processing,,Data
cloud networks,,Network
constrained control,,
renewable energy,,Energy
dataflow modeling,,
datacenter efficiency,,Energy
spectral methods,,
probabilistic analysis,,
chip microarchitecture,,Architecture
comunication networks algorithms,,Network
evolution,,
parallel sorting,,Concurrency
métaheuristiques,,
database forensics,,DB
spatiotemporal databases and data mining,,DB
hpc and parallel computing,,HPC
communication runtime,,OS
data security & privacy,,Security
mashup,,
big data systems/data analytics,,Data
programmer productivity tools,,Compilers
workload forecasting,,Benchmark
networked computer systems,,Network
energy and power management,,Energy
indoor location systems,,
irregular parallelism,,Concurrency
crowd-based data sourcing,,Data
database acceleration,,DB
media enhancement,,
dbms,,DB
workflow modeling,,Concurrency
data streaming systems,,Data
parallel programming models and runtimes,,Concurrency
security and cryptography,,Security
application performance management,,
dynamic distributed systems,,Concurrency
cpu-fpga shared memory platforms,,GPGPU
distributed systems and online social networks,,
uncertainty theory,,
multimedia compression and communication,,Network
resource management and scheduling,,OS
data-centric infrastructure,,Data
machine learning algorithms,,Data
wireless power,,Energy
service science,,
software evolution,,
performance and power modeling,,Benchmark
xml data management,,
energy efficient and reliable computing,,Energy
secure/multi-party computation,,Security
monitoring tools,,
schedulers,,OS
olap,,
service placement,,
near data computing,,Data
dependability and reliability analysis,,Security
communication architectures,,Architecture
parallelization and code generation,,Compilers
parallel programming methodologies,,Concurrency
computer architecture support for security,,Security
ontologies,,
hypervisors,,VM
cognitive science,,
compressed sensing,,
parallel performance evaluation and optimization,,Concurrency
high dimensional modelling,,
scaling machine learning,,Data
hpc resiliency,,HPC
high performance computing and distributed systems,,HPC
graphics processing units,,GPGPU
dynamic program analysis,,Compilers
plant phenotyping,,
heterogeneous runtime systems,,GPGPU
caching networks,,Network
asynchronous vlsi,,Architecture
hw/sw interplay,,Architecture
parallel i/o and mpi-io library,,Storage
large-scale machine learning/data mining,,Data
mano,,
monte carlo methods,,
web science,,
multistore systems,,Storage
high level synthesis,,
transactional systems,,DB
big data analysis,,Data
many-body theories,,
teoria algorytmów,,
large data,,Data
data-flow,,
component based software engineering,,
parallel algorithm,,Concurrency
ab initio calculations,,
vlsi/cad,,Architecture
cloud economics,,Cloud
tensor decomposition,,
activity recognition,,
combat epistemology,,
field programmable gate arrays,,Architecture
capacity/energy provisioning,,Energy
media forensics,,
electricity markets,,
scientific parallel computing,,HPC
parallel and distributed simulation,,Concurrency
elasticity in data stream,,
education,,
new memory technologies,,Storage
data intensive science,,HPC
p2p overlays,,Network
mobile cloud computing,,Cloud
compiler/runtime framework,,Compilers
runtime system,,OS
networked-multimedia applications,,Network
requirements engineering,,
sparse linear algebra,,
complex systems,,
replicated data types,,Storage
tensor algorithms,,
heterogeneous system,,GPGPU
high performance and distributed computing,,HPC
internet architecture,,
iot,,
heterogeneous energy-aware computing,,Energy
credit networks,,
dense linear algebra,,
software analytics,,
data stores,,Storage
queueing networks,,Network
many-core architectures,,Architecture
sql-on-hadoop,,Data
non and semi parametric,,
smart data,,Data
event-based systems,,
runtime code generation,,Compilers
quantum computing,,
wearables,,
binary instrumentation,,
quantitative evaluation,,
mobile internet,,Network
differential privacy,,Security
column-stores,,DB
scientific data compression,,HPC
shared resource management,,OS
main-memory database systems,,DB
critical infrastructures,,
chip multiprocessor,,Architecture
genomic computing,,
interoperability,,
software performance,,
mobile operating systems,,OS
online social network,,
information system architecture,,Architecture
databases: indexing and information retrieval,,DB
mobile & pervasive computing,,
workflow scheduling,,OS
software defined datacenter,,Cloud
performance modeling and analysis,,Benchmark
digital logic,,
data wrangling,,Data
large-scale system modeling,,Benchmark
distributed shared-memory systems,,Concurrency
programing language design,,Compilers
run-times,,OS
cloud software engineering,,Cloud
social network analysis and mining,,
computational imaging,,
data warehouses,,Data
information retrieval evaluation,,
cache attacks,,Security
algorithm based fault tolerance,,
systems security / web security,,Security
stream data processing,,
tiled multicore processors,,Concurrency
dns,,Network
low-power machine learning hardware,,Energy
wifi,,Network
scalable architecture,,Architecture
network resilience,,Network
peformance optimisation,,
combinatorial optimizations,,
cyberphysical systems,,
hardware design (fpga and asic),,Architecture
constraint programming,,
computer vision and machine learning,,Data
data privacy and confidentiality,,Security
low power high performance computing,,Energy
parallel/distributed systems,Parallel and Distributed Computing,Concurrency
gossip protocols,,Concurrency
astronomy,,
probabilistic/inconsistent/uncertain database,,DB
phase change materials,,
randomization,,
optimizing compiler,,Compilers
computational advertising,,
nanophotonics,,
visual computing.,,
replication,,
data management and exploration,,DB
it/cs applications in multi-disciplines,,
distributed file system,,Storage
scalability and cloud,,Cloud
computer systems: compilers,,Compilers
operating and distributed systems,,OS
service-oriented architecture,,Architecture
instrumentation,,Benchmark
cognitive computing,,
content-based search,,
computational databases,,DB
mac protocols,,
internet law,,
data center management,,Cloud
data-driven science,,
backscatter communication,,Network
model-driven software engineering,,
energy-efficient networking,,Energy
computer science theory,,
tech policy,,
parallel and distributed programming,,Concurrency
non-volatile main memory,,Storage
scalability,,
heat transfer,,
software debugging,,
stochastic dynamics,,
hardware security,,Security
traffic measurement and characterization,,Benchmark
web/browser security,,Security
grid and high performance computing,,HPC
cloud service,,Cloud
program analysis and verification,,
performance modelling and optimization,,
algorithm auditing,,
energy-efficient programming models,,Energy
performance and energy optimization,,Energy
privacy & compliance,,Security
database architecture,,DB
virtualization technologies.,,VM
simd,,Concurrency
network metrology,,Network
blockchain,,
software and network security,,Security
nanoelectronic devices and materials,,
multiprocessors,,Architecture
heterogeneous many-core,,GPGPU
job scheduling,,OS
jit compilation,,Compilers
policy management,,
theorem proving,,
datacenter computing,,Cloud
query authentication and correction,,
economic and social networks,,
bio-inspired computing,,
lifted inference,,
storage and filesystem,,Storage
trust and reputation systems,,Security
reconfigurability and reprogrammability in manycore systems,,Architecture
génie logiciel,,
tomography,,
dataflow languages,,
parallel processing language models,,
dynamical systems,,
large-scale storage,,Storage
seismology,,
dynamic spectrum networks,,
dynamic instrumentation and compilation techniques,,
world-wide web,,
intelligent agent systems,,
grid/cloud computing,,
probabilistic/quantitative model checking,,
radiation test,,
scalable debugging techn,,
in situ,,
obda,,
computer communications,,
mobile object managment,,
m,,
機械学習、パターン認識、計算機科学,,
human-centred computing,,
accelerator technology,,
quality of software architectures,,
system/mobile security,,
graph computation,,
efficient algorithms,,
materialized views,,
graph mining and indexing,,
high performance i/o and computational epidemiology.,,
design for reliability,,
datacenter,,
serious games,,
database performance,,DB
programming-language technologies,,Compilers
supercomputing/hpc,,HPC
discrete event simulations,,
secure communications,,
wearable computing,,
cryptographic protocols,,Security
system-on-chips,,Architecture
telecom applications,,
optimization and control of distributed network systems,,
planetary landing guidance,,
domain-specific languages,,Compilers
probabilistic model checking,,
information security and privacy,,Security
neuromorphic,,
sentiment analysis,,
power efficient systems,,Energy
electrical energy storage (ees),,
availability,,
privacy-preserving computation,,
distributed computing (crowdsourcing cloud iot),,
distributed graph algorithms,,
pattern mining,,
fpga in datacentres,,
robust query processing,,
business processes,,
spatial-temporal databas,,DB
performance evaluation of computer systems,,Benchmark
topic modeling,,
many-core processors,,Concurrency
social networks and cloud computing,,Cloud
e-science,,
services,,
virtualization security,,Security
statistical relational learning,,
security metrics,,Security
amr,,
hardware for machine learning,,Architecture
access control and trust management,,Security
data systems,,Data
operating syste,Operating Systems,OS
e-business,,
