key,words,alphabetized,months_to_gs,months_to_eprint,subtitle,labeled_title,title_length,references,entities
CIDR_17_030,7314,False,4,4,False,False,5,12,Amplifier;B-tree;Central processing unit;Database;Database engine;IBM Tivoli Storage Productivity Center;InnoDB;Log-structured file system;MySQL;Online transaction processing;Requirement;Response time (technology);RocksDB;Storage efficiency;Throughput
CIDR_17_031,6660,False,4,4,True,True,6,19,Automated theorem proving;Conjunctive query;Constraint satisfaction problem;Correctness (computer science);Experiment;Proof assistant;Relational database management system;Rewrite (programming);SQL;SQL Server Compact;Undecidable problem
CIDR_17_032,9932,True,4,4,True,True,9,14,Data integrity;Database;Eye of the Beholder;Relational database management system
PPoPP_17_001,11223,False,3,3,True,True,9,33,CUDA;Central processing unit;Daemon;Daemon (computing);Graphics processing unit;Image processing;Kernel (operating system);Operating system;POSIX Threads;Pagoda (data structure);Parallel computing;Runtime system;Scheduling (computing);Spawn (computing);Speedup;Thread (computing);Throughput
PPoPP_17_002,13542,False,3,3,True,True,10,55,Cilk Plus;Common subexpression elimination;Compiler;Concurrency (computer science);Control flow;Control flow graph;Intermediate representation;LLVM;Loop scheduling;Loop-invariant code motion;OpenMP;Optimizing compiler;Parallel computing;Recursion;Scheduling (computing);Spawning networks;Tail call
PPoPP_17_003,10261,False,3,3,True,True,10,28,Algorithm;Computer programming;Graphics processing unit;Programming model;Runtime system;Scalability;Speedup;Supercomputer;Synchronous programming language
PPoPP_17_004,10002,False,3,4,True,False,17,32,Application checkpointing;Computer data storage;Diskless node;Failure rate;Fault tolerance;In-memory database;Linpack benchmarks;Scalability;Supercomputer
PPoPP_17_005,12691,False,3,3,True,False,11,41,APL;Benchmark (computing);Compiler;Computation;Consistency model;Haskell;Immutable object;Imperative programming;Overhead (computing);Process calculus;Programmer;Programming idiom;Programming language;Race condition;Sequential consistency;Shared memory;The Glorious Glasgow Haskell Compilation System;Thread-local storage;Type system;X86
PPoPP_17_006,10510,True,3,,False,False,8,33,Benchmark (computing);Concurrency (computer science);Concurrency control;DACAPO;Database transaction;Lock (computer science);Naivety;Overhead (computing);Programmer;Programming language;Secure by design;Shared memory;Side effect (computer science);Smart Battery;Software transactional memory;Static program analysis;Transactional memory
PPoPP_17_007,13597,False,3,3,False,False,11,43,C++11;Central processing unit;Compare-and-swap;Concurrent data structure;Correctness (computer science);Data structure;High- and low-level;Linearizability;Memory model (programming);Multi-core processor;SWAP (instrument);Software bug
PPoPP_17_008,12929,False,3,3,False,False,10,19,Fairness measure;Lavasoft Ad-Aware;Locality of reference;Lock (computer science);Message Passing Interface;Music Construction Set;Non-uniform memory access;Scalability;Throughput;Timeout (computing);Uniform memory access
PPoPP_17_009,9758,False,3,11,False,False,8,23,Algorithm;Checksum;Cholesky decomposition;Error detection and correction;Exception handling;Experiment;Fault tolerance;Karl Hessenberg;LAPACK;QR decomposition;ScaLAPACK;Scalability;Singular value decomposition
PPoPP_17_010,12522,False,3,3,False,False,4,30,Algorithm;Automatic vectorization;Bellman–Ford algorithm;CUDA;Compiler;Depth-first search;Dynamic programming;Graphics processing unit;High- and low-level;Kernel (operating system);Parallel computing;SIMD;String searching algorithm
PPoPP_17_011,10208,False,3,3,True,True,9,35,Access control;Attribute–value pair;B+ tree;Concurrency (computer science);Concurrency control;Design pattern;HTML;Key-value database;Multi-core processor;Scalability;Search tree;Software design pattern;Speedup;Transactional memory
PPoPP_17_012,10098,False,3,10,True,False,11,36,Data structure;Dynamic data;Lock (computer science);Multi-core processor;Overhead (computing);Search tree
PPoPP_17_013,10906,False,3,3,False,False,10,15,Assembly language;BLAS;Bare machine;Benchmark (computing);Convolution;Graphics processing unit;Kepler (microarchitecture);Memory hierarchy;Microarchitecture;Performance tuning;Reverse engineering;Throughput;Toolchain
PPoPP_17_014,11444,False,3,3,True,True,11,30,Computer multitasking;Data center;Entity Name Part Qualifier - adopted;Graphics Processing Unit;Graphics processing unit;Preemption (computing);Programs - Publication Format;Scheduling (computing);Smartphone;Smartphone;Software framework;Throughput
PPoPP_17_015,11328,False,3,3,False,False,13,48,Compiler;Computation;Data-intensive computing;General-purpose computing on graphics processing units;Mean squared error;Memory map;Parallel computing;Run time (program lifecycle phase);Self-tuning;Simple set;Stencil code;Tiling window manager
PPoPP_17_016,13467,True,3,3,False,False,10,27,Binary search algorithm;CUDA;Double-precision floating-point format;GeForce 700 series;Graphics processing unit;Latent Dirichlet allocation;Machine learning;Mixture model;On the fly;SIMD;Sampling (signal processing);Single-precision floating-point format;Topic model
PPoPP_17_017,11678,False,3,3,False,False,12,13,Asymptotically optimal algorithm;Baseline (configuration management);Computation;Data parallelism;Grams;Iteration;Multi-core processor;Parallel computing;Program transformation;Recursion;Scheduling (computing);Speedup;Task parallelism;Universal instantiation
PPoPP_17_018,10608,False,3,12,True,False,8,53,Algorithm;Central processing unit;Multi-core processor;OpenMP;Parsec (parser);Program optimization;Thread (computing);Time complexity;Working set
PPoPP_17_019,11939,False,3,3,False,False,14,24,Finite-state machine;HTML;Huffman coding;Manycore processor;Multi-core processor;Parallel computing;Pushdown automaton;Regular expression;SIMD;Speculative execution;Speedup;Tokenization (data security);Xeon Phi
PPoPP_17_020,10600,True,3,3,True,True,10,27,Attribute–value pair;Big data;Data structure;First-class function;In-memory database;Iterator;Java;Kinetic Void;Map;Memory management;Non-blocking algorithm;Range query (data structures);Skip list;USB flash drive
PPoPP_17_021,9632,False,3,3,False,False,10,21,Debugging;Interference (communication);Programmer;Software bug;Synthetic data
PPoPP_17_022,11232,True,3,3,True,False,13,39,Amortized analysis;Concurrency (computer science);Concurrent data structure;Data structure;Directed acyclic graph;Parallel computing;Programming language;Programming paradigm;Series-parallel graph;Shared memory;Zero
PPoPP_17_023,15054,False,3,3,False,False,5,65,Cilk Plus;Debugging;High- and low-level;Library (computing);OpenMP;Parallel computing;Replay attack;Runtime system;Scheduling (computing);Spawn (computing);Task parallelism;Thread (computing);Threading Building Blocks;Work stealing
PPoPP_17_024,9367,False,3,3,False,False,8,34,Algorithm;Central processing unit;Coordinate descent;Gradient descent;Graphics processing unit;Image quality;Iterative reconstruction;Medical imaging;Multi-core processor;Parallel computing;Speedup;Test case;Tomography
PPoPP_17_025,11675,False,3,3,False,False,7,55,Algorithm;Central processing unit;Connectome;Connectomics;Graphics processing unit;High-throughput computing;Image processing;Machine learning;MapReduce;Mass storage;Multi-core processor;Parallel computing;Performance engineering;Scalability;Terabyte;Throughput
PPoPP_17_026,12321,False,3,11,False,False,12,9,Basis (linear algebra);Computation;Computational chemistry;Computer data storage;For loop;Loop optimization;NWChem;Parallel computing;Quantum mechanics;Software suite;Tiling window manager;Transformation matrix
PPoPP_17_027,9562,True,3,3,True,False,16,21,Algorithm;CUDA;Computation;Deep learning;Graphics processing unit;ImageNet;Open MPI;Parallel computing;Requirement;Scalability;Speedup;TensorFlow;Torch
PPoPP_17_028,10248,False,3,3,True,False,12,26,Computation;Computational complexity theory;Experiment;Parallel computing;Resource contention;Scheduling (computing)
PPoPP_17_029,10800,True,3,6,False,False,7,36,Computation;Context switch;Correctness (computer science);Data model;Data structure;Enumerated type;Network switch;Parallel computing;Scalability;Semi-structured data;Speculative execution;Speedup;Static program analysis;Web analytics;XPath
HPCA_17_001,10659,False,3,10,False,False,9,,Convolutional neural network;Fastest;Graphics processing unit;Kernel (operating system);Microarchitecture;Multi-Touch Collaboration Wall;Pervasive informatics;Requirement;Scheduling (computing);Throughput
HPCA_17_002,13225,False,3,3,False,False,12,40,"Algorithm;Best, worst and average case;Byte;Cache (computing);Central processing unit;Computer data storage;Die (integrated circuit);Double data rate;Dynamic random-access memory;EDRAM;High Bandwidth Memory;ICL Distributed Array Processor;Memory hierarchy;Random-access memory;Simulation;Static random-access memory"
HPCA_17_003,10125,False,5,,True,True,12,23,Advanced Configuration and Power Interface;Baseline (configuration management);Central processing unit;Client–server model;Data-intensive computing;Network interface;Network interface controller;Network packet;Online and offline;Power management;Response time (technology);Server (computing);Service-level agreement
HPCA_17_004,10253,False,3,3,False,False,7,47,Address space;Central processing unit;Correctness (computer science);Input–output memory management unit;Memory management unit;Programming model;Scratchpad memory;Tiling window manager;Translation lookaside buffer;Zero page
HPCA_17_005,11716,True,3,3,False,False,5,38,László Bélády;Markov chain;Markov decision process
HPCA_17_006,10938,False,3,3,True,True,14,32,CPU cache;Cache coloring;Central processing unit;Graph coloring;Linux;Linux;Manycore processor;Multi-core processor;Operating system;Scalability;Server (computing)
HPCA_17_007,10758,False,3,9,False,False,9,41,CPU cache;Corner case;Data hierarchy;Electronic data processing;Indirection;Mobile processor;Server (computing)
HPCA_17_008,9967,False,3,,False,False,12,38,CPU cache;Cache (computing);Locality of reference;Memory hierarchy;Principle of locality;Profiling (information science);Synthetic data
HPCA_17_009,12374,False,3,3,False,False,9,42,Algorithm;Central processing unit;Embedded system;Overhead (computing);Power domains;Power gating;Power management;Processor design;Programmer;Requirement;Simulation;Spectral leakage;Symbolic simulation
HPCA_17_010,10138,False,3,,False,False,10,20,"Algorithm;Android;Best, worst and average case;Central processing unit;Control theory;Dynamic voltage scaling;Memory bandwidth;Mobile device;Operating system;Power management;Smartphone;System configuration"
HPCA_17_011,10360,False,3,3,False,False,7,21,Computer cluster;Deferred Procedure Call;Frequency capping;Heuristic;Maximum throughput scheduling;Power management;Power supply;Program optimization;Response time (technology);Server (computing);Throughput
HPCA_17_012,10784,False,3,,False,False,7,33,Assistive technology;Clos network;Data center;Deadlock;Equal-cost multi-path routing;Experiment;Fat tree;Fault tolerance;Jellyfish.com;Multipath routing;Randomness;Requirement;Routing;Synthetic data
HPCA_17_013,14472,False,3,3,True,False,15,44,Active Directory;CPU cache;Critical path method;Last mile;Manycore processor;Naivety;Operating system;Overhead projector;Scalability;Shared memory;Simulation;Sparse matrix;Thread (computing)
HPCA_17_014,10306,False,3,3,False,False,8,45,Bandwidth (signal processing);Dynamic random-access memory;Low-power broadcasting
HPCA_17_015,10465,False,3,3,False,False,8,18,Big data;Computer data storage;Control system;Data center;Digital data;Dynamic voltage scaling;High memory;Memory management;Memory module;Memory-mapped I/O;Power management
HPCA_17_016,13605,False,3,3,True,True,13,75,Computer data storage;Data integrity;Double data rate;Dynamic random-access memory;Field-programmable gate array;High- and low-level;High-level programming language;Memory controller;Memory module;Non-volatile memory;Observable;Open-source software;Systems design;Utility;Volatile memory
HPCA_17_017,11249,False,3,3,True,False,11,34,Algorithm;Classical XY model;Deadlock;Electronic data processing;Failure rate;Mesh networking;Microarchitecture;Network on a chip;Power gating;Program lifecycle phase;Router (computing);Routing;Run time (program lifecycle phase);Stock and flow;Throughput
HPCA_17_018,9831,False,3,,False,False,15,46,Algorithm;Low-power broadcasting;Mathematical optimization;Microarchitecture;Network on a chip;Network switch;Performance per watt;Router (computing);Routing;Serialization;Synthetic data;Throughput
HPCA_17_019,9708,True,3,3,False,False,7,58,CPU cache;Central processing unit;ChIP-on-chip;Enterprise resource planning;Manycore processor;Network on a chip;Parallel computing;Physical Review A;Quality of service;Requirement;Router (computing);Server (computing)
HPCA_17_020,10006,False,3,18,False,False,17,58,"2.5D;Arrayed waveguide grating;Baseline (configuration management);Benchmark (computing);Best, worst and average case;Bisection bandwidth;ChIP-on-chip;Die (integrated circuit);Focus stacking;Interconnection;Interposer;Network on a chip;PARSEC Benchmark Suite;Parsec (parser);Router (computing);Simulation;Supercomputer;Transmitter"
HPCA_17_021,10094,False,3,3,False,False,8,22,Information leakage;Interleaved memory;Memory controller;Memory management;Memory protection;Scheduling (computing);Spectral leakage;Timing channel
HPCA_17_022,10774,False,3,3,True,False,14,21,Central processing unit;Cipher;Cold boot attack;DIMM;Disk encryption;Dynamic random-access memory;Emergence;Encryption;Non-volatile memory;Overhead (computing);Power supply;Reboot (computing);Replay attack;Salted Challenge Response Authentication Mechanism;Scrambler;Signal integrity;Skylake (microarchitecture);Stream cipher;Vector (malware)
HPCA_17_023,8748,False,3,10,False,False,11,26,Baseline (configuration management);Information leakage;Memory bandwidth;PATH (variable);Random-access memory;Scheduling (computing);Server (computing)
HPCA_17_024,9812,False,3,3,True,True,8,34,Adversary (cryptography);Cloud computing;Data center;Dynamic random-access memory;Memory timings;Multi-user;Network on a chip;Privacy;Schedule (project management);Scheduling (computing);Side-channel attack;Simulation;Time of arrival;Timing channel;Traffic shaping
HPCA_17_025,10624,False,3,3,True,False,9,18,Address space;Dynamic random-access memory;FM broadcast band;Flat memory model;Hot swapping;Interleaved memory;Load balancing (computing);Locality of reference;Lock (computer science);Paging;Placement syntax;Principle of locality
HPCA_17_026,10530,False,3,3,True,True,10,33,Atom;Atom;Baseline (configuration management);Byte;Byte addressing;Critical path method;Durability (database systems);IBM Tivoli Storage Productivity Center;Non-volatile memory;Redo log;Undo;Volatile memory
HPCA_17_027,9115,False,3,5,True,True,8,35,Attribute–value pair;Dynamic random-access memory;Indirection;Input/output;Key-value database;Lock (computer science);NoSQL;Online transaction processing;Page cache;Row (database);Solid-state drive;Solid-state electronics;Transaction processing
HPCA_17_028,9877,False,3,3,False,False,13,33,Cell (microprocessor);Domain Name System Security Extensions;Iteration;Multi-level cell;Phase-change memory;Radio resource management
HPCA_17_029,9381,False,3,5,False,False,7,27,Byte;Central processing unit;Computer multitasking;Multi-core processor;Reliability engineering;Scheduling (computing)
HPCA_17_030,10857,False,3,3,True,True,9,41,64-bit computing;ARM architecture;ARM big.LITTLE;Data center;Dynamic frequency scaling;Dynamic voltage scaling;Experiment;Frequency scaling;Heuristic;Memcached;Quality of service;Reinforcement learning;Task manager
HPCA_17_031,9263,False,3,3,True,True,6,41,Colocation centre;Data center;Fairness measure;Game theory;Heuristic;Resource contention
HPCA_17_032,9734,False,3,10,True,True,16,21,Access time;Address space;Algorithm;Big data;CAS latency;Computer data storage;Dynamic random-access memory;Flat memory model;Memory management;Requirement;Scalability
HPCA_17_033,9997,False,3,6,False,False,4,24,Autoassociative memory;CMOS;Cognition;Content-addressable memory;Discharger;Emulator;Hamming distance;Scalability
HPCA_17_034,10080,False,3,3,True,True,10,44,Cube;Data science;Emergence;Hybrid Memory Cube;In-memory database;Instruction-level parallelism;Linearizability;Overhead (computing);Speedup
HPCA_17_035,9221,False,3,,False,False,7,38,Central processing unit;Cognitive dimensions of notations;Data integrity;Error detection and correction;Error-tolerant design;Forward error correction;Interconnection;Modulation;Network performance;Numerical analysis;Random-access memory;Round-off error;Scalability;Simulation;Soft error
HPCA_17_036,10050,False,5,5,False,False,2,26,Application checkpointing;CPU cache;Computation;Cryptography;Database;In-memory database;In-place algorithm;Kernel (operating system);Locality of reference;Operand;Static random-access memory;Throughput
HPCA_17_037,9453,False,3,3,True,True,9,22,Binary file;Boomerang;Branch predictor;Branch target predictor;CPU cache;Cache (computing);Control flow;Megabyte;Prefetcher;Server (computing);Stemming;Working set
HPCA_17_038,10684,False,5,5,True,True,9,42,CAS latency;Catastrophic interference;Data center;Interference (communication);Jumpstart Our Business Startups Act;Memory bandwidth;Memory controller;Quality of service;Requirement prioritization;Total cost of ownership
HPCA_17_039,9531,False,3,,True,False,12,39,Access time;Baseline (configuration management);Clock signal;Critical path method;Dynamic random-access memory;Electronic data processing;Inter-process communication;Locality of reference;Memory-level parallelism;Microarchitecture;Parallel computing;Random access;Solution stack
HPCA_17_040,11460,False,3,6,False,False,9,45,Context-free grammar;Control flow;Control flow graph;Debugging;Executable;Fast path;Information Processes and Technology;Instrumentation (computer programming);Library;Library (computing);On the fly;Skylake (microarchitecture);Tracing (software)
HPCA_17_041,10322,False,3,3,True,True,9,62,Algorithm;Artificial neural network;Batch processing;Computation;Convolution;Data dependency;Deep learning;Graphics processing unit;Parallel computing;Pipeline (computing);Random access;Random-access memory;Resistive random-access memory;Throughput
HPCA_17_042,11162,False,3,3,True,True,10,29,Big data;Convolutional neural network;Dataflow;Dataflow architecture;Neural Networks;Neuron;Parallel computing;Performance per watt;Scalability;Speedup;Synapse
HPCA_17_043,10202,False,3,3,True,True,12,41,Branch predictor;Code coverage;Compiler;Control flow;Coprocessor;Dataflow;Graphics processing unit;Hardware acceleration;LLVM;Microarchitecture;Parsec (parser);Program analysis;Speculative execution
HPCA_17_044,10366,False,3,3,False,False,9,31,Algorithm;Approximation error;Intrusion detection system;Locality of reference;Principle of locality;Self-organized criticality;Xeon Phi
HPCA_17_045,10856,False,3,,True,False,10,30,Cache (computing);Graphics processing unit;Instructions per cycle;Network switch;Packet switching;Radio frequency;Register file;Spectral leakage
HPCA_17_046,9787,False,3,,True,False,12,29,Baseline (configuration management);Graphics processing unit;Performance per watt;Power supply;Register file;Scalar processor;Throughput
HPCA_17_047,10179,False,3,3,False,False,9,41,Central processing unit;Dynamic frequency scaling;Dynamic voltage scaling;Frequency scaling;General-purpose computing on graphics processing units;Graphics processing unit;High-throughput computing;Iteration;Power management;Run time (program lifecycle phase);Throughput
HPCA_17_048,10846,False,3,18,False,False,9,,Atomicity (database systems);Cache coherence;Core Storage;Graphics processing unit;Information privacy;Oracle Coherence;Read-only memory;Read-write memory;Sequential consistency
HPCA_17_049,10465,False,3,,False,False,9,32,3D computer graphics;3D rendering;Baseline (configuration management);Central processing unit;Computer data storage;Cube;Graphics processing unit;Hybrid Memory Cube;Pixel;Random-access memory;Throughput
HPCA_17_050,10078,False,3,3,False,False,8,30,Baseline (configuration management);Dynamic programming;Graphics processing unit;Kernel (operating system);Parallel computing;Scheduling (computing);Speedup
NDSS_17_001,12918,True,3,3,True,False,13,21,Cloud computing;Email;Encryption;Input/output;Locality of reference;Provable security;Symmetric-key algorithm
NDSS_17_002,15058,True,3,3,True,True,7,,Backup
NDSS_17_003,27329,False,3,3,True,True,8,40,Bitcoin;Ecash;Elliptic curve cryptography;Ethernet hub;Money;Programming paradigm;Random oracle;Tumbler (Project Xanadu)
NDSS_17_004,15167,False,3,3,False,False,6,37,"Best, worst and average case;Bitcoin;Communications protocol;Crypto-anarchism;De-anonymization;Dining cryptographers problem;Formal verification;Malware;P2P caching;Peer-to-peer;Pseudonymity"
NDSS_17_005,16002,False,3,,True,True,9,,
NDSS_17_006,12238,False,3,3,True,True,9,27,Attack surface;Emergence;Hoc (programming language);Software-defined networking
NDSS_17_007,13472,False,3,3,True,True,7,38,Bro;Computer security;Interference (communication);Network function virtualization;Network security;Poor posture;Scalability;Snort;Software-defined networking
NDSS_17_008,13934,False,3,3,False,False,10,27,Buffer overflow;Buffers;Controllers;Elasticity (cloud computing);Firewall (computing);Nelfinavir;Network function virtualization;Scalability;Software-defined networking;Virtual machine
NDSS_17_009,14614,False,3,3,False,False,2,31,Address space;Code injection;Code integrity;Control flow;Control-flow integrity;Hardening (computing);Hypervisor;Kernel (operating system);Sandbox (computer security)
NDSS_17_010,14678,False,3,3,True,False,16,18,Causality;Client-side;Coupling (computer programming);Denial-of-service attack;Digital rights management;Hoc (programming language);JavaScript;JavaScript library;Library;Library (computing);Trends in library usage;Vulnerability (computing);Web developer;World Wide Web;jQuery
NDSS_17_011,14890,False,3,3,False,False,10,29,Android;Chromium (web browser);Clickjacking;High availability;Phishing;Screenshot;Snapshot (computer storage);Social engineering (security);Usability testing;Web page
NDSS_17_012,14361,True,6,,False,False,8,27,Device fingerprint;Fingerprint;Operating system;Video card
NDSS_17_013,13608,False,3,3,False,False,8,,Recommender system
NDSS_17_014,12993,False,3,3,True,False,7,20,Authentication;Biometrics;Code injection;Denial-of-service attack;Experiment;Mathematical morphology;Smartphone;Sound card
NDSS_17_015,12807,False,3,3,False,False,6,,Authentication
NDSS_17_016,12776,False,3,3,True,False,13,41,Authentication;Experiment;Gait analysis;Oscillator representation;Sampling (signal processing);Sensor;Sparse matrix;Wearable technology
NDSS_17_017,11917,False,3,3,False,False,9,28,Character encoding;Concatenation;Dictionary;Password;Password cracking;Password strength;Terabyte;Text corpus
NDSS_17_018,13634,False,3,3,False,False,7,27,Adversary (cryptography);Algorithm;Android;Authentication;Authorization;Camera phone;Computer vision;Information sensitivity;Operating system;Password cracking;Smartphone;Threat model
NDSS_17_019,14954,False,3,3,True,False,12,27,ASEA IRB;Evasion (network security);Malware;Social engineering (security);Technical support;Technical support scam;Telephone number
NDSS_17_020,13495,False,3,3,False,False,9,33,Algorithm;Android;Antivirus software;Approximation algorithm;Dataflow;Malware;Message sequence chart;Signature block;Static program analysis;Zero-day (computing)
NDSS_17_021,14582,False,3,3,True,True,11,57,Android;Application programming interface;Behavioral modeling;F1 score;Malware;Markov chain;Operating system
NDSS_17_022,13000,False,3,3,False,False,11,19,Antivirus software;Ecosystem;Machine learning;Malware;Social engineering (security);VirusTotal
NDSS_17_023,13843,False,3,3,True,False,12,38,Antivirus software;Client-side;Download;Ecosystem;Human–computer interaction;Lockstep (computing);Malware;Patch (computing);Potentially unwanted program;Server (computing);Server-side;Streaming media;Trojan horse (computing);Underground;Unsupervised learning
NDSS_17_024,14937,False,3,3,False,False,7,33,Cryptography;Diffie–Hellman key exchange;Directory System Agent;HTTPS;Internet Key Exchange;Key escrow;Key exchange;Library;Load balancing (computing);Open-source software;OpenSSL;Opportunistic TLS;Server (computing)
NDSS_17_025,12400,False,3,3,True,False,7,26,Backdoor (computing);Cryptosystem;Diffie–Hellman key exchange;Discrete logarithm;Elliptic curve cryptography;Integer factorization;Modulus robot;Opportunistic TLS;Transport Layer Security
NDSS_17_026,11004,False,3,3,True,True,6,,Kernel (operating system);Next-generation network;Tunneling protocol
NDSS_17_027,12175,False,3,3,False,False,6,18,Airport security;Algorithm;Antivirus software;Cipher;Client-side;Content delivery network;Cryptography;Digital distribution;Downgrade;E-commerce;Encryption;Firefox;HTTPS;Hardening (computing);Heuristic;Hypertext Transfer Protocol;International Standard Book Number;Library;Man-in-the-middle attack;Middlebox;Network traffic control;Plaintext;Population;Proxy server;Recommender system;Relay;Server (computing);Software deployment;Telephone number;Terminate (software);Transport Layer Security;User agent;Vulnerability (computing);Web server
NDSS_17_028,15728,True,3,3,False,False,8,36,Computation;Cryptography;Information retrieval;Oblivious transfer;Overhead (computing);Personally identifiable information;Private information retrieval;Secure multi-party computation;Security parameter
NDSS_17_029,16464,True,3,3,False,False,11,64,Amortized analysis;Benchmark (computing);Computation;Data pre-processing;Preprocessor;Secure multi-party computation;Secure two-party computation;Two-phase commit protocol;XOR;XOR gate;Yao graph
NDSS_17_030,15428,True,3,3,False,False,10,,Computation;Lookup table;Secure multi-party computation
