name,gs_email,interest,topic
"Abhashkumar, Anubhavnidhi",@wisc.edu,network management,Network
"Aboulnaga, Ashraf",@qf.org.qa,databases,DB
"Aboulnaga, Ashraf",@qf.org.qa,cloud computing,Cloud
"Abowd, John",@census.gov,labor economics,
"Abowd, John",@census.gov,econometrics,
"Abowd, John",@census.gov,statistics,
"Abowd, John",@census.gov,privacy,Security
"Abowd, John",@census.gov,confidentiality,Security
"Abramson, David",@monash.edu,high performance distributed computing,HPC
"Abts, Dennis",@acm.org,computer architecture,Architecture
"Abts, Dennis",@acm.org,parallel computing,Concurrency
"Abu-Ghazaleh, Nael",@cs.ucr.edu,hardware security,Security
"Abu-Ghazaleh, Nael",@cs.ucr.edu,computer architecture,Architecture
"Abu-Ghazaleh, Nael",@cs.ucr.edu,wireless and sensor networks,Network
"Abu-Ghazaleh, Nael",@cs.ucr.edu,parallel discrete event simulation,Benchmark
"Acar, Gunes",@princeton.edu,privacy technologies,Security
"Acar, Gunes",@princeton.edu,web tracking,Security
"Acar, Gunes",@princeton.edu,device fingerprinting,
"Acar, Umut A.",@cs.cmu.edu,programming languages,Compilers
"Acar, Umut A.",@cs.cmu.edu,parallel computing,Concurrency
"Acar, Umut A.",@cs.cmu.edu,algorithms,
"Acar, Umut A.",@cs.cmu.edu,software systems,
"Accioly, Paola",@cin.ufpe.br,software engineering,
"Acer, Seher",@bilkent.edu.tr,combinatorial scientific computing,HPC
"Acer, Seher",@bilkent.edu.tr,parallel computing,Concurrency
"Acharya, Ayan",@utexas.edu,data mining,Data
"Acharya, Ayan",@utexas.edu,machine learning,Data
"Acharya, Ayan",@utexas.edu,pattern recognition,
"Acun, Bilge",@illinois.edu,high-performance computing,HPC
"Acun, Bilge",@illinois.edu,parallel and distributed systems,Concurrency
"Acun, Bilge",@illinois.edu,energy efficient computing,Energy
"Adamsen, Christoffer Quist",@cs.au.dk,programming languages,Compilers
"Adamsen, Christoffer Quist",@cs.au.dk,software engineering,
"Adamsen, Christoffer Quist",@cs.au.dk,program analysis,Compilers
"Adamsen, Christoffer Quist",@cs.au.dk,software testing,
"Adamsen, Christoffer Quist",@cs.au.dk,static analysis,Compilers
"Adhinarayanan, Vignesh",@vt.edu,computer architecture,Architecture
"Adhinarayanan, Vignesh",@vt.edu,energy-efficient computing,Energy
"Adhinarayanan, Vignesh",@vt.edu,power-aware high-performance computing,Energy
"Adib, Fadel",@mit.edu,seeing through walls,
"Adib, Fadel",@mit.edu,wireless systems,
"Adib, Fadel",@mit.edu,computer networks,Network
"Adib, Fadel",@mit.edu,human-computer interaction,
"Adrian, David",@umich.edu,security,Security
"Adrian, David",@umich.edu,computer networks,Network
"Adve, Sarita V.",@illinois.edu,computer architecture,Architecture
"Adve, Sarita V.",@illinois.edu,parallel computing,Concurrency
"Adve, Sarita V.",@illinois.edu,computer systems,
"Adve, Sarita V.",@illinois.edu,reliability,Security
"Adve, Sarita V.",@illinois.edu,energy,Energy
"Afroz, Sadia",@icsi.berkeley.edu,security,Security
"Afroz, Sadia",@icsi.berkeley.edu,privacy,Security
"Afroz, Sadia",@icsi.berkeley.edu,machine learning,Data
"Aftandilian, Edward",@google.com,programming languages,Compilers
"Aftandilian, Edward",@google.com,dynamic analysis,
"Aftandilian, Edward",@google.com,garbage collection,Compilers
"Aga, Shaizeen",@umich.edu,near data computing,Data
"Aga, Shaizeen",@umich.edu,parallel computer architecture,Architecture
"Aga, Shaizeen",@umich.edu,parallel computing,Concurrency
"Agarwal, Neha",@umich.edu,computer architecture,Architecture
"Agarwal, Neha",@umich.edu,operating systems,OS
"Agarwal, Neha",@umich.edu,memory systems,Architecture
"Agarwal, Rachit",@cs.cornell.edu,computer systems,
"Agarwal, Rachit",@cs.cornell.edu,big data analytics,Data
"Agarwal, Rachit",@cs.cornell.edu,distributed systems,Concurrency
"Agarwal, Rachit",@cs.cornell.edu,algorithms,
"Agarwal, Rachit",@cs.cornell.edu,networking,Network
"Agarwal, Sameer",@cs.berkeley.edu,databases,DB
"Agarwal, Sameer",@cs.berkeley.edu,approximate query processing,
"Agarwal, Sameer",@cs.berkeley.edu,distributed systems,Concurrency
"Agarwal, Sharad",@microsoft.com,mobile computing,
"Agarwal, Sharad",@microsoft.com,computer networking,Network
"Ageev, Mikhail",@yandex.com,information retrieval,DB
"Aggarwal, Charu",@us.ibm.com,data mining,Data
"Aggarwal, Charu",@us.ibm.com,data streams,
"Aggarwal, Charu",@us.ibm.com,outlier detection,Data
"Aggarwal, Charu",@us.ibm.com,graph mining,
"Aggarwal, Charu",@us.ibm.com,recommender systems,Data
"Agichtein, Eugene",@mathcs.emory.edu,information retrieval,DB
"Agichtein, Eugene",@mathcs.emory.edu,text mining,Data
"Agichtein, Eugene",@mathcs.emory.edu,web search,
"Agichtein, Eugene",@mathcs.emory.edu,social media,
"Agichtein, Eugene",@mathcs.emory.edu,natural language processing,Data
"Agrawal, Abhinav",@ncsu.edu,computer architecture,Architecture
"Agrawal, Abhinav",@ncsu.edu,compilers,Compilers
"Agrawal, Abhinav",@ncsu.edu,fault tolerance,Security
"Agrawal, Abhishek",@intel.com,analog,
"Agrawal, Abhishek",@intel.com,mixed signal,
"Agrawal, Abhishek",@intel.com,rf,Network
"Agrawal, Abhishek",@intel.com,mmwave,
"Agrawal, Aditya",@illinois.edu,computer architecture,Architecture
"Agrawal, Ankit",@eecs.northwestern.edu,data mining,Data
"Agrawal, Ankit",@eecs.northwestern.edu,high-performance computing,HPC
"Agrawal, Ankit",@eecs.northwestern.edu,materials informatics,
"Agrawal, Ankit",@eecs.northwestern.edu,healthcare informatics,
"Agrawal, Ankit",@eecs.northwestern.edu,social media analytics,Data
"Agrawal, Divyakant",@cs.ucsb.edu,big data & cloud computing,Data
"Agrawal, Divyakant",@cs.ucsb.edu,databases,DB
"Agrawal, Divyakant",@cs.ucsb.edu,distributed systems,Concurrency
"Agrawal, Divyakant",@cs.ucsb.edu,data security & privacy,Security
"Agrawal, Gagan",@cse.ohio-state.edu,high performance and data-intensive computing,HPC
"Agrawal, Gaurav",@google.com,machine learning,Data
"Agrawal, Gaurav",@google.com,vlsi,Architecture
"Agrawal, Gaurav",@google.com,computer architecture,Architecture
"Agrawal, Kunal",@wustl.edu,parallel computing,Concurrency
"Agrawal, Kunal",@wustl.edu,algorithms,
"Agrawal, Nitin",@cs.wisc.edu,storage systems,Storage
"Agrawal, Nitin",@cs.wisc.edu,computer systems,
"Agrawal, Nitin",@cs.wisc.edu,mobile,
"Agrawal, Nitin",@cs.wisc.edu,data analytics,Data
"Agrawal, Rakesh",@microsoft.com,data mining,Data
"Agrawal, Rakesh",@microsoft.com,web search,
"Agrawal, Rakesh",@microsoft.com,education,
"Agrawal, Rakesh",@microsoft.com,privacy,Security
"Agrawal, Sandeep R.",@oracle.com,machine learning,Data
"Agrawal, Sandeep R.",@oracle.com,computer architecture,Architecture
"Agrawal, Shashank",@visa.com,cryptography,Security
"Agrawal, Shashank",@visa.com,information security,Security
"Agrawal, Shashank",@visa.com,distributed systems,Concurrency
"Agrawal, Shweta",@iitm.ac.in,cryptography,Security
"Aguilera, Marcos K.",@vmware.com,distributed systems,Concurrency
"Aguilera, Marcos K.",@vmware.com,distributed systems,Concurrency
"Ahmad, Ishfaq",@cse.uta.edu,parallel and distributed systems,Concurrency
"Ahmad, Ishfaq",@cse.uta.edu,green computing,Energy
"Ahmad, Ishfaq",@cse.uta.edu,big data,Data
"Ahmad, Ishfaq",@cse.uta.edu,multimedia,
"Ahmad, Masab",@uconn.edu,computer architecture,Architecture
"Ahmad, Masab",@uconn.edu,graph algorithms,HPC
"Ahmad, Masab",@uconn.edu,hardware security,Security
"Ahmad, Yanif",@jhu.edu,database systems,DB
"Ahmad, Yanif",@jhu.edu,data streams,
"Ahmad, Yanif",@jhu.edu,declarative languages,Compilers
"Ahmed, Amal",@ccs.neu.edu,programming languages,Compilers
"Ahmed, Kishwar",@fiu.edu,high-performance computing,HPC
"Ahmed, Kishwar",@fiu.edu,parallel simulation,Benchmark
"Ahmed, Kishwar",@fiu.edu,optimization,
"Ahmed, Kishwar",@fiu.edu,game theory,
"Ahmed, M Meraj",@g.rit.edu,wireless network on chip,Network
"Ahmed, M Meraj",@g.rit.edu,inter chip communication,Network
"Ahmed, M Meraj",@g.rit.edu,interconnect,Network
"Ahmed, M Meraj",@g.rit.edu,vlsi,Architecture
"Ahmed, M Meraj",@g.rit.edu,emerging integration technology,Architecture
"Ahmed, Pritom",@ucr.edu,software engineering,
"Ahmed, Pritom",@ucr.edu,string algorithm,
"Ahn, Ethan C.",@utsa.edu,nanoelectronic devices and materials,
"Ahn, Gail-Joon",@asu.edu,security and privacy,Security
"Ahn, Jung Ho",@snu.ac.kr,computer architecture,Architecture
"Ahrens, James",@lanl.gov,scientific visualization,HPC
"Ahrens, James",@lanl.gov,large data,Data
"Ahrens, James",@lanl.gov,data-intensive computing,Data
"Ai, Qingyao",@cs.umass.edu,artificial intelligence,
"Ai, Qingyao",@cs.umass.edu,information retrieval,DB
"Ai, Qingyao",@cs.umass.edu,machine learning,Data
"Aiello, Luca Maria",@nokia-bell-labs.com,computational social science,
"Aiello, Luca Maria",@nokia-bell-labs.com,network science,Network
"Aiello, Luca Maria",@nokia-bell-labs.com,urban informatics,
"Aiello, Luca Maria",@nokia-bell-labs.com,social media,
"Aiello, Marco",@ieee.org,distributed systems,Concurrency
"Aiello, Marco",@ieee.org,smart energy systems,Energy
"Aiello, Marco",@ieee.org,spatial reasoning,
"Aiken, Alex",@cs.stanford.edu,programming languages,Compilers
"Aiken, Alex",@cs.stanford.edu,compilers,Compilers
"Aiken, Alex",@cs.stanford.edu,verification,
"Aiken, Alex",@cs.stanford.edu,parallelism,Concurrency
"Ailamaki, Anastasia",@epfl.ch,data management,DB
"Ainsworth, Mark",@brown.edu,numerical solution of pdes,HPC
"Ajay, Jerry",@buffalo.edu,3d printers,
"Ajay, Jerry",@buffalo.edu,cyber-physical systems,
"Aji, Ashwin",@amd.com,high-performance computing,HPC
"Aji, Ashwin",@amd.com,parallel computation,Concurrency
"Aji, Ashwin",@amd.com,parallel programming models,Concurrency
"Akbudak, Kadir",@cs.bilkent.edu.tr,parallel computing,Concurrency
"Akbudak, Kadir",@cs.bilkent.edu.tr,scientific computing,HPC
"Akella, Aditya",@cs.wisc.edu,computer networks,Network
"Akella, Aditya",@cs.wisc.edu,networking,Network
"Akella, Aditya",@cs.wisc.edu,computer systems,
"Akella, Aditya",@cs.wisc.edu,computer systems,
"Akella, Aditya",@cs.wisc.edu,communications,Network
"Akgun, Itir",@ece.ucsb.edu,computer architecture,Architecture
"Akkus, Istemi Ekin",@mpi-sws.org,computer networks,Network
"Akkus, Istemi Ekin",@mpi-sws.org,distributed systems,Concurrency
"Akkus, Istemi Ekin",@mpi-sws.org,cloud computing,Cloud
"Akoglu, Leman",@cs.cmu.edu,data mining,Data
"Akoglu, Leman",@cs.cmu.edu,graph mining,
"Akoglu, Leman",@cs.cmu.edu,anomaly mining,Data
"Akoglu, Leman",@cs.cmu.edu,machine learning,Data
"Akoglu, Leman",@cs.cmu.edu,social and information media analysis,
"Aktolga, Elif",@cs.umass.edu,information retrieval,DB
"Aktolga, Elif",@cs.umass.edu,natural language processing,Data
"Akturk, Ismail",@umn.edu,computer architecture,Architecture
"Al-Fuqaha, Ala",@wmich.edu,computer networks,Network
"Al-Fuqaha, Ala",@wmich.edu,internet of things,
"Al-Fuqaha, Ala",@wmich.edu,smart services,
"Al-Fuqaha, Ala",@wmich.edu,network management,Network
"Al-Fuqaha, Ala",@wmich.edu,network planning,Network
"Al-Kiswany, Samer",@uwaterloo.ca,storage systems,Storage
"Al-Kiswany, Samer",@uwaterloo.ca,operating systems,OS
"Al-Kiswany, Samer",@uwaterloo.ca,high-performance computing,HPC
"Al-Kiswany, Samer",@uwaterloo.ca,cloud computing,Cloud
"Al-Kiswany, Samer",@uwaterloo.ca,data managment,Data
"Al-Shaer, Ehab",,network security,Security
"Al-Shaer, Ehab",,security analytics,Security
"Al-Shaer, Ehab",,network assurability,
"Alagappan, Ramnatthan",@cs.wisc.edu,operating systems,OS
"Alagappan, Ramnatthan",@cs.wisc.edu,distributed systems,Concurrency
"Alagappan, Ramnatthan",@cs.wisc.edu,storage and file systems,Storage
"Alaghi, Armin",@cs.washington.edu,computer architecture,Architecture
"Alaghi, Armin",@cs.washington.edu,vlsi,Architecture
"Alaghi, Armin",@cs.washington.edu,stochastic computing,
"Alam, Hanna",@tce.technion.ac.il,computer architecture,Architecture
"Alam, Hanna",@tce.technion.ac.il,operating systems,OS
"Alam, Hanna",@tce.technion.ac.il,machine learning,Data
"Alam, Mejbah Ul",@utsa.edu,programming productivity in multi-core architecture,Compilers
"Alam, Mejbah Ul",@utsa.edu,performance and reliability of concurrent systems,Concurrency
"Alam, Mejbah Ul",@utsa.edu,scalable debugging techn,
"Alam, Monjur",@gatech.edu,security,Security
"Alam, Monjur",@gatech.edu,cryptography,Security
"Alam, Monjur",@gatech.edu,malware,Security
"Alameldeen, Alaa",@cs.wisc.edu,computer architecture,Architecture
"Alameldeen, Alaa",@cs.wisc.edu,memory systems,Architecture
"Alameldeen, Alaa",@cs.wisc.edu,energy-efficient architectures,Energy
"Alameldeen, Alaa",@cs.wisc.edu,operating systems,OS
"Alameldeen, Alaa",@cs.wisc.edu,database systems,DB
"Alapati, Praveen",@cse.iitm.ac.in,concurrent data structures,
"Alapati, Praveen",@cse.iitm.ac.in,parallel algorithms,Concurrency
"Alay, Özgü",@simula.no,multimedia streaming,Network
"Alay, Özgü",@simula.no,mobile broadband networks,Network
"Alay, Özgü",@simula.no,wireless networks,Network
"Alay, Özgü",@simula.no,cooperative networks,Network
"Alay, Özgü",@simula.no,multicast,Network
"Albarghouthi, Aws",@cs.wisc.edu,formal methods,
"Albarghouthi, Aws",@cs.wisc.edu,software verification,
"Albarghouthi, Aws",@cs.wisc.edu,program analysis,Compilers
"Albarghouthi, Aws",@cs.wisc.edu,static analysis,Compilers
"Albarghouthi, Aws",@cs.wisc.edu,programming languages,Compilers
"Albericio, Jorge",@ece.toronto.edu,computer architecture,Architecture
"Albers, Susanne",@in.tum.de,algorithms,
"Aldinucci, Marco",@unito.it,parallel computing,Concurrency
"Aldinucci, Marco",@unito.it,distributed systems,Concurrency
"Aldinucci, Marco",@unito.it,high-performance data analytics,Data
"Aldinucci, Marco",@unito.it,scientific parallel computing,HPC
"Aldinucci, Marco",@unito.it,autonomic computing,
"Aldrich, Jonathan",@cs.cmu.edu,programming languages,Compilers
"Aldrich, Jonathan",@cs.cmu.edu,software engineering,
"Alduaij, Naser",@cs.columbia.edu,computer science,
"Alduaij, Naser",@cs.columbia.edu,computer systems,
"Alexeev, Yuri",@alcf.anl.gov,computational biology,HPC
"Alexeev, Yuri",@alcf.anl.gov,computational chemistry,HPC
"Alexeev, Yuri",@alcf.anl.gov,fragment molecular orbital method,
"Alexeev, Yuri",@alcf.anl.gov,code parallelization,Concurrency
"Alforov, Yevhen",@dkrz.de,knowledge engineering,
"Alforov, Yevhen",@dkrz.de,high-performance computing,HPC
"Alforov, Yevhen",@dkrz.de,high-level i/o interfaces,Storage
"Alfredsson, Stefan",@kau.se,computer networking,Network
"Alfredsson, Stefan",@kau.se,tcp,Network
"Alfredsson, Stefan",@kau.se,mobile broadband (4g/lte),Network
"Alfredsson, Stefan",@kau.se,performance measurement,Benchmark
"Alhassoun, Nailah",@ksu.edu.sa,computer and information sciences,
"Ali, Karim",@ualberta.ca,compilers,Compilers
"Ali, Karim",@ualberta.ca,programming languages,Compilers
"Ali, Karim",@ualberta.ca,call graph,Compilers
"Ali, Karim",@ualberta.ca,static analysis,Compilers
"Ali-Eldin, Ahmed",@cs.umu.se,cloud computing,Cloud
"Ali-Eldin, Ahmed",@cs.umu.se,peer-to-peer systems,Network
"Ali-Eldin, Ahmed",@cs.umu.se,computer systems,
"Ali-Eldin, Ahmed",@cs.umu.se,distributed systems and algorithms,Concurrency
"Alian, Mohammad",@illinois.edu,computer architecture,Architecture
"Alian, Mohammad",@illinois.edu,computer systems,
"Alim, Adil",@albany.edu,artificial intelligence,
"Alim, Adil",@albany.edu,data mining,Data
"Alipour, Mehdi",@it.uu.se,microarchitecture,Architecture
"Alipour, Mehdi",@it.uu.se,embedded systems,
"Alipour, Mehdi",@it.uu.se,vlsi,Architecture
"Alipourfard, Omid",@yale.edu,networked systems,Network
"Alipourfard, Omid",@yale.edu,computer networks,Network
"Alipourfard, Omid",@yale.edu,network management,Network
"Alistarh, Dan",@csail.mit.edu,computer science,
"Alizadeh, Mohammad",@csail.mit.edu,computer networks,Network
"Alizadeh, Mohammad",@csail.mit.edu,computer systems,
"Alizadeh, Mohammad",@csail.mit.edu,cloud computing,Cloud
"Alizadeh, Mohammad",@csail.mit.edu,network algorithms,Network
"Allan, James",@cs.umass.edu,information retrieval,DB
"Allen, Gabrielle Dawn",@illinois.edu,education,
"Allen, Gabrielle Dawn",@illinois.edu,scientific computing,HPC
"Allen, Gabrielle Dawn",@illinois.edu,high-performance computing,HPC
"Allen, Gabrielle Dawn",@illinois.edu,cyberinfrastructure,
"Allen, Gabrielle Dawn",@illinois.edu,numerical relativity,
"Allodi, Luca",@tue.nl,economics of computer security,Security
"Allodi, Luca",@tue.nl,cybercrime vulnerability,
"Allodi, Luca",@tue.nl,exploits,Security
"Almeida, Francisco",@ull.edu.es,hpc,HPC
"Almeida, José Bacelar",@di.uminho.pt,cryptography,Security
"Almeida, José Bacelar",@di.uminho.pt,formal verification,
"Almeida, José Bacelar",@di.uminho.pt,proof-assistants,
"Almeida, Jussara",@dcc.ufmg.br,performance analysis and modeling,Benchmark
"Almeida, Jussara",@dcc.ufmg.br,workload characterization,Benchmark
"Almeida, Jussara",@dcc.ufmg.br,social computing,
"Almgren, Magnus",@chalmers.se,security,Security
"Almudever, Carmen G.",@tudelft.nl,quantum computing,
"Alonso, Gustavo",@inf.ethz.ch,data management,DB
"Alonso, Gustavo",@inf.ethz.ch,distributed systems,Concurrency
"Alonso, Gustavo",@inf.ethz.ch,databases,DB
"Alonso, Gustavo",@inf.ethz.ch,middleware,OS
"Alonso, Omar",@microsoft.com,information retrieval,DB
"Alonso, Omar",@microsoft.com,evaluation,
"Alonso, Omar",@microsoft.com,crowdsourcing,
"Alonso, Omar",@microsoft.com,human computation,
"Alonso, Omar",@microsoft.com,social search,
"Alshboul, Mohammad",@ncsu.edu,computer architecture and systems,Architecture
"Alshboul, Mohammad",@ncsu.edu,memory systems,Architecture
"Alshboul, Mohammad",@ncsu.edu,non-volatile memory,Storage
"Alsudais, Azzam",@colorado.edu,computer networks,Network
"Altaf, Muhammad Shoaib Bin",@cs.wisc.edu,computer architecture,Architecture
"Althoff, Tim",@cs.stanford.edu,data science,Data
"Althoff, Tim",@cs.stanford.edu,social network analysis,
"Althoff, Tim",@cs.stanford.edu,natural language processing,Data
"Althoff, Tim",@cs.stanford.edu,mobile health,
"Althoff, Tim",@cs.stanford.edu,computational social science,
"Altingovde, Ismail Sengor",@ceng.metu.edu.tr,web search engines,
"Altingovde, Ismail Sengor",@ceng.metu.edu.tr,information retrieval,DB
"Altingovde, Ismail Sengor",@ceng.metu.edu.tr,data mining,Data
"Altingovde, Ismail Sengor",@ceng.metu.edu.tr,machine learning,Data
"Altingovde, Ismail Sengor",@ceng.metu.edu.tr,sentiment analysis,
"Altintas, Ilkay",@sdsc.edu,scientific workflows,HPC
"Altintas, Ilkay",@sdsc.edu,provenance,DB
"Altisen, Karine",@imag.fr,méthodes formelles,
"Altisen, Karine",@imag.fr,distributed systems,Concurrency
"Altmann, Jorn",@acm.org,cloud economics,Cloud
"Altmann, Jorn",@acm.org,internet economics,
"Altmann, Jorn",@acm.org,platform economics,
"Altmann, Jorn",@acm.org,complex adaptive systems,
"Altmann, Jorn",@acm.org,computational social science,
"Alur, Rajeev",@cis.upenn.edu,formal methods,
"Alur, Rajeev",@cis.upenn.edu,cyber-physical systems,
"Alur, Rajeev",@cis.upenn.edu,programming languages,Compilers
"Alur, Rajeev",@cis.upenn.edu,automata theory,
"Alur, Rajeev",@cis.upenn.edu,logic in computer science,
"Aluru, Srinivas",@cc.gatech.edu,bioinformatics,HPC
"Aluru, Srinivas",@cc.gatech.edu,high-performance computing,HPC
"Aluru, Srinivas",@cc.gatech.edu,parallel algorithms and applications,Concurrency
"Aluru, Srinivas",@cc.gatech.edu,systems biology,
"Alvarez, Gonzalo P. Rodrigo",@cs.umu.se,distributed systems,Concurrency
"Alvaro, Peter",@ucsc.edu,distributed systems,Concurrency
"Alvaro, Peter",@ucsc.edu,data management systems,DB
"Alviano, Mario",@mat.unical.it,artificial intelligence,
"Alviano, Mario",@mat.unical.it,logic programming,
"Alviano, Mario",@mat.unical.it,nonmonotonic reasoning,
"Alvisi, Lorenzo",@cs.cornell.edu,distributed systems,Concurrency
"Amano, Hideharu",@am.ics.keio.ac.jp,computer architecture,Architecture
"Amano, Hideharu",@am.ics.keio.ac.jp,reconfigurable system,
"Amano, Hideharu",@am.ics.keio.ac.jp,interconnection network,Network
"Amaral, José Nelson",@ualberta.ca,compiler design and implementation,Compilers
"Amaral, José Nelson",@ualberta.ca,high-performance computing,HPC
"Amaral, José Nelson",@ualberta.ca,programming languages,Compilers
"Amaral, Marcelo Carneiro Do",@ac.upc.edu,distributed systems,Concurrency
"Amaral, Marcelo Carneiro Do",@ac.upc.edu,computer network,Network
"Amaral, Marcelo Carneiro Do",@ac.upc.edu,cloud computing,Cloud
"Amaral, Marcelo Carneiro Do",@ac.upc.edu,artificial intelligence,
"Amaral, Vasco",@fct.unl.pt,model-driven development,
"Amaral, Vasco",@fct.unl.pt,software languages engineering,Compilers
"Amaral, Vasco",@fct.unl.pt,domain specific languages,Compilers
"Amaral, Vasco",@fct.unl.pt,physics computing,
"Amaral, Vasco",@fct.unl.pt,verification,
"Amarasinghe, Saman",@mit.edu,compilers,Compilers
"Amarís, Marcos",@ime.usp.br,parallel and distributed systems,Concurrency
"Amarís, Marcos",@ime.usp.br,machine learning,Data
"Amarís, Marcos",@ime.usp.br,big data,Data
"Amarís, Marcos",@ime.usp.br,deep learning,Data
"Amato, Nancy",@tamu.edu,motion planning,
"Amato, Nancy",@tamu.edu,robotics,
"Amato, Nancy",@tamu.edu,computational biology,HPC
"Amato, Nancy",@tamu.edu,computational geometry,HPC
"Amato, Nancy",@tamu.edu,parallel and distributed systems,Concurrency
"Amer, Abdelhalim",@anl.gov,parallel and distributed systems,Concurrency
"Amigó, Enrique",@lsi.uned.es,natural language processing,Data
"Amigó, Enrique",@lsi.uned.es,information retrieval,DB
"Amin, Tanvir Al",@google.com,big data management and analytics,Data
"Amin, Tanvir Al",@google.com,social sensing,
"Amin, Tanvir Al",@google.com,cloud computing,Cloud
"Amini, Massih-Reza",@imag.fr,artificial intelligence,
"Amini, Massih-Reza",@imag.fr,machine learning,Data
"Amini, Massih-Reza",@imag.fr,learning theory,
"Amini, Massih-Reza",@imag.fr,information retrieval,DB
"Amit, Nadav",@vmware.com,operating systems,OS
"Amit, Nadav",@vmware.com,virtualization,VM
"Ammar, Mostafa",@cc.gatech.edu,networking,Network
"Ammar, Mostafa",@cc.gatech.edu,networked services,Network
"Ammar, Mostafa",@cc.gatech.edu,wireless and mobile networks,Network
"Ammar, Mostafa",@cc.gatech.edu,multicast,Network
"Ammar, Mostafa",@cc.gatech.edu,multimedia communication,
"Amsterdamer, Yael",@biu.ac.il,databases,DB
"Amsterdamer, Yael",@biu.ac.il,data mining,Data
"Amsterdamer, Yael",@biu.ac.il,crowdsourcing,
"Amza, Cristiana",@ece.utoronto.ca,distributed and parallel systems,Concurrency
"Amza, Cristiana",@ece.utoronto.ca,data processing,
"An, Aijun",@cse.yorku.ca,data mining,Data
"An, Yujie",,audio signal processing and coding,
"Anagnostopoulos, Aris",@dis.uniroma1.it,algorithms,
"Anagnostopoulos, Aris",@dis.uniroma1.it,data mining,Data
"Anand, Saswat",@cs.stanford.edu,software engineering,
"Anand, Saswat",@cs.stanford.edu,program analysis,Compilers
"Anand, Saswat",@cs.stanford.edu,mobile security,Security
